Text,Lebel,Month
বাংলাদেশ পুরো টিমকে আটলান্টিক মহাসাগরে ৭ দিন ৭ রাত মাছ ধরার ট্রলারে পিকনিকে পাঠানো উচিত।,1,8
Muktar Ali Memorial Award goes to Shoriful box ,1,8
"জিতলেও বাংলাদেশ, হারলেও বাংলাদেশ, সুডে খাল করে দিলেও বাংলাদেশ",1,8
dotbabatamim ,1,8
ডটবাবা আর সিনিয়র সেল্ফিশ গুলা এখন বলবে। এই হার থেকে আমারা নতুন কিছু শিখবো,1,8
"সবাই সকালে ঘুমায় থাকে, তখন মুশফিক প্র্যাকটিস করে। তারপর মাঠে এসে ঘুমায় ",1,8
আয়না দ্যা ম্যান- মুশফিক,1,8
"ই গ্রহের সবচেয়ে বিরল প্রজাতির খেলোয়ার, তাকে ব্রিটিশ মিউজিয়ামে সংরক্ষন করে রাখা উচিত",1,9
গদা গদা গদা,1,9
দূর সুজন পাডা বাল খেলে,1,9
গদা সুজন।,1,9
পেটুক কাকুর ভুরির মধ্যে একটা বল মারো,1,9
একটা ছোট জলহস্তীর খেলা খুব উপভোগ করলাম,1,9
গদা ব্যাট ধরার আগেই কাইন্দা দ্যাছে।।,1,9
এই প্রথম দেখলাম যে ব্যাট হাতে ফুটবল দাড়িয়ে আছে,1,9
"পেট ধরবে না বেট ধরবে আমার মাথায় কাজ করছে না,, সুজন কাক্কু মানেই আগুন",1,9
"মনডায় চায় এক পা শ্রীলংকা অন্য পা ভারত রাইখা
পাশের রাষ্ট্র নোয়াখালী থেকে দৌড়ে আইসা ১৬০ কিঃমিঃ গতিতে একটা বল করি",1,9
পেটের জন্য দৌড়ে গন্তব্যে পৌঁছল না সূজন মিয়া,1,9
বাংলাদেশ বুরো বনাম ভারত তরুণ,1,9
গদার কলিজায় মনে হয় পানি নাই মনে মনে বলছে কেন যে ব্যাটিংএ আসলাম এই স্পিড বল কিভাবে সামলাবো,1,9
নিঃসন্দেহে সুজন কাকু সর্বকালের সেরা,1,9
খালেদ মাহমুদ সুজন ভাইকে কেউ একটান বিড়ি খাওয়াও দেখবে বলে বলে ছয় মারবে,1,9
অন্য দেশের খেলোয়াড় দেখ আমরা দেশের খেলোয়াড় দেখ পেট একটা কত বড়,1,9
 গর্ভবতী আবস্থাতেউ প্রাণপণ লড়াই করে গেছেন আমাদের গদা কাকু...গতির দানব,1,9
সুজন বস্তা,1,9
"যতদিন থাকবে.......
গদা,নুন্নু,বেশার আর পাপোন্দা,ততোদিনে উন্নতি হবে না ক্রিকেটের, লিখে রাখেন আমজনতা",1,9
সুজন কাক্কুর গতি ছিল ঘণ্টায় 320 কিলোমিটার!,1,9
"এরকম পেট নিয়ে খেললে ছয় ছাড়া তার উপায় আছে,, সেতো দৌড়ে রান নিতে পারবে না। সেই জন্য শুধু ছয় আর ছয় আসছে তার ব্যাটে।",1,9
নান্নু ভাইয়ের ভুরি টা গেঞ্জির ধারা সম্ভব হচ্ছে না আটকে রাখা,1,9
আমাদের অহংকার গদা সুজন গতি দানব ঘন্টায় দুই শত কিলোমিটার।,1,9
নান্নু জাতীয় দলে একটা ছয় মারতে পারে নাই এখন সুযোগ ছিল এই কাপে খেললে একটা ছয় মারতে পারতে মনে হয়,1,9
এই হল আমাদের সুজন আমাদের অহংকার সুজন তুমি এগিয়ে চল কিন্তু তোমার পেট তোমাকে এগুতে দেয়নি যার কারণে তুমি রান হলে।,1,9
গদা  সুজনকে বাংলাদেশের প্রধান মন্ত্রী করা হোক।,1,9
"আমি অনেকবার শ্যুটিং ফেলে সুজনের ব্যাটিং দেখেছি
--- অমিতাভ বচ্চন",1,9
"ক্রিকেট কিং, গদা সুজন",1,9
আমি জোর দাবি জানাচ্ছি সুজন কাকুকে আবার জাতীয় দলে আনা হোক,1,9
বাংলাদেশী লিজেন্ড দের ম্যাচ এর আগে পোদ মারার প্র্যাকটিস,1,9
ভুরি ওয়ালা  জল হস্তি ব্যাটসম্যান,1,9
গোপাল ভাঁড় সুজন কাক্কু তার বোলিং এর এত গতি বেসমেন্ট বল চোখে দেখেনা,1,9
"গরীবের জ্যাককালিস , গদা সুজন কাগা
",1,9
গদা ৪ মারছে জিরো ফিগার আমাদের গদা ,1,9
আসছে গোপাল যাচ্ছে গোপাল...বাংলার গোপাল সুজন কাকু,1,9
"সুজন কাক্কু ভয়ংকর, যে ভাবে ব্যাট চালায় বল তো হারায় যাব",1,9
"আস্তে গদা, স্যরি দাদা, জার্সি ছিড়ে যাবে যে",1,9
সুজন কাকুর যে প্রতিভা ...এটা নিয়ে জাতীয় দলে কিভাবে খেলে এটাই একটা গবেষণা হতে পারে,1,9
রঙিন পোষাকের ক্রিকেটে অন্যতম রূপকার হলেন শান্ত।,1,9
ক্রিকেট খেলাটা আবিষ্কার হয়েছে ইংল্যান্ডে আর তাকে পরিপূর্ণতা দিয়েছে শান্ত,1,9
শান্ত হলো ক্রিকেটের গঞ্জালো হিগুইন,1,9
যখন আমি গৃহবন্দী ছিলাম তখন আমি ঘরে বসে শান্তর খেলা দেখতাম। আর এটাই আমাকে ধৈর্যশীল ও সংযমি হতে সাহায্য করেছে।,1,9
শান্ত যদি একাই ব্যাট হাতে যুদ্ধ করতে পারে তাহলে সব সৈনিকে অস্ত্র হাতে আমেরিকাকে হারাতে পারবে না,1,9
"বলেছিলাম ১৪০+ স্ট্রাইকরেটে ব্যাট করবো, কিন্তু তার সাহস পেলাম না শান্তর ব্যাটিং দেখে।
(এনামূল হক বিজয়)",1,9
আমার দেখা এই শতাব্দির সেরা খেলোয়াড় শান্ত,1,9
"ইরানে বোমা হামলা করার চাইতে আমার শান্তর ব্যাটিং হাইলাটস দেখা অনেক জরুরী।
(ডোনাল্ড ট্রাম্প)",1,9
"আমার দুর্ভাগ্য আমার শান্তর সাথে খেলার সৌভাগ্য হয়নি।
(মিয়া খালিফা)",1,9
শান্ত ক্রিকেট খেলে বলে আমি ক্রিকেটারের রূপ এখনও নেই নাই।,1,9
"আমি চাদ উঠেছিলো গগনে গানটা করার আগে শান্তর ব্যাটিং দেখেছিলাম। তার ব্যাটিংই আমাকে এরকম গান বানাতে উদ্বুদ্ধ করেছে।
( রদ্দুর রয়)",1,9
"শান্ত চাইলে আমার মতো আক্রমণাত্বক খেলতে পারে। কিন্তু আমি চাইলে কখনোই তার মতো খেলতে পারবোনা।
(ক্রিস গেইল)",1,9
"শান্তকে ১৫ মিনিটে আউট করার চেষ্টা করো, যদি না পারো বাকি সময় অন্য ব্যাটসম্যানদের আউট করার চেষ্টা করো",1,9
দল বিপদে? কে উদ্ধার করবে? শান্ত শুধুই শান্ত,1,9
যদি আমার জীবনের জন্য কাউকে ব্যাট করতে বলা হয় তবে আমি শান্তকে নামাবো।,1,9
"আমি সৌভাগ্যবান কেননা আমি শান্তর যুগের বোলার নই
(মুত্তিয়া মুরালিধরন)",1,9
ক্রিকেটে আমার সুপারহিরো শান্ত।তিনি সবসময়ই আমার হিরো ছিলেন এবং থাকবেন।,1,9
একই বাতাসে শ্বাসপ্রশ্বাস নেয়ার সুযোগ করে দেয়ায় আমি অন্তর থেকে শান্তকে ধন্যবাদ দিতে চাই।,1,9
আপনি যদি শান্তকে আউট করতে পারেন তাহলে খেলা অর্ধেক জিতে গেছেন।,1,9
লিটল মাস্টার শান্ত এতোই প্রতিভাবান যে আপনি যে দেশেরই হোন না কেন ও সেঞ্চুরি করলে আপনি তার প্রশংসা করতে বাধ্য থাকবেন।,1,9
"আমি অনেকবার শুটিং ফেলে শান্তর ব্যাটিং দেখেছি।
(অমিতাভ বচ্চন)",1,9
"সুজনের মতো খেলোয়াড় বাংলাদেশ ক্রিকেটে চান্স পাইলো কি ভাবে।
ও তো খেলোয়াড়ের মধ্যে পড়ে না।
ওই সুজন নাকি আবার
বাংলাদেশ ক্রিকেট বোর্ডে বিচারকের দায়িত্ব পালন করে। আহারে বাংলাদেশ",1,9
জাতী ধন্য এই রকম খেলোয়ার পেয়ে,1,9
বাংলাদেশের এক মাত্র পাওয়ার হিটার সুজন দা,1,9
গদা সুজন সাহেব প্রেগ্ন্যাসির মধ্যে খেলতে নেমেছিল এতেই আমি খুশি,1,9
আমি জোর দাবি জানাচ্ছি সুজন কাকুকে অধিনায়ক করে T -20 বিশ্বকাপে খেলানো হোক তাহলে চায়ের কাপটা আমাদের ঘরে আসবে।,1,9
এক সময়ের রান মেশিন আমাদের গর্দভ সুজন,1,9
ওমা আমাগো ষাঁড় গদা সুজন পেট দেখে মনে হয় গর্ভবতী।,1,9
কাক্কু অামাদের বাংলাদেশের গর্ভবতী ব্যাট্সম্যান ,1,9
"যখনই লিজেন্ড খালেদ মাহমুদ তার হেটারদের মুখের উপর একটা বাউন্ডারি মেরে দিলেন, তার কিছুক্ষণ পরেই ষড়যন্ত্র করে রান আউট করে দিলেন পাইলট",1,9
আমার ফেভারিট প্লেয়ার গতি দানব সুজন স্যার,1,9
পেটের জন্য এলবি ডব্লিউ এবং বোল্ড হওয়ার সম্ভাবনা নাই। বিকজ ভূরি ফিটনেস,1,9
গদা সুজন ক্রিজে এসেই আর্মর দিয়ে বিশ্বের অন্যতম সেরা ব্যাটার এর অজ্ঞ ভঙ্গি বিশেষ ভাবে আমার মন কেড়েছে,1,9
২০ বলে ১০০ করবে।সেটা বড় কথা নয়।কথা হচ্ছে সুজন যে ব্যাটে বল লাগাইছে,1,9
এদের খেলা দেখা আর সময় নষ্ট করা ছাড়া আর কিছুই না,1,8
সোনার ছেলেরা অনেক কষ্ট করেছে এদের থাইল্যান্ড পাঠিয়ে মাসাজ দেওয়া হোক,1,8
আমারা বাঙালি ক্রিকেটার আমাদের কোন লজ্জা নাই???,1,8
বাংলাদেশকে সব ধরনের ক্রিকেট থেকে বহিষ্কার করা উচিত,1,8
বাংলাদেশ বাংলাদেশের মাটিতেই ভালো খেলতে পারে নেপালের সাথে যদি নেপালের মাটিতে খেলে ওয়াশ হয়ে আসবে নেপালি ওয়াশ,1,8
"পাপী ,, পাপন,বি সি বি প্রেসিডেন্ট",1,8
তেলের দাম যেভাবে বাড়ছে টেনশন সবার তাই খেলার এই অবস্থা,1,8
পাপনের ম্যানেজমেন্টে ক্রিকেট অবনতির দিকে..,1,8
অবৈধ সরকারের অবৈধ ক্রিকেট বোর্ড..এটা ছাড়া আর কি হবে??,1,8
বন্যেরা বনে সুন্দর শিশুরা মাতৃক্রোরে । প্লেয়াররা মাঠে সুন্দর বাংলাদেশ ওই মিরপুরে,1,8
বাংলাদেশ ক্রিকেট বোর্ড বিলুপ্ত ঘোষণার জোর দাবি জানাচ্ছি।,1,8
লজ্জা থাকলে আর ক্রিকেট খেলবে না বাংলাদেশ টিম।,1,8
"বাংলাদেশের বোলিং এত সুন্দর, গাও-গ্রামের ল্যাংটা পোলাপান ওভার প্রতি ছক্কা মারবে ২/৩ টা",1,8
বিসিবি সভাপতি একাদশে থাকলে ম্যাচ জিতে যেত বাংলাদেশ,1,8
হোয়াইটওয়াশ সম্ভাবনা রয়েছে মনে হয় ৯৯.৯৯% এটাই তো বাংলাদেশের ক্রিকেট খেলা,1,8
বাংলাদেশ কে হোয়াটওয়াস করলে উচিৎ শিক্ষা হবে,1,8
"আমি বুজালম না। এখানে টাইগার কোন হালায়ে,,,, সব দেখি বিড়াল",1,8
ক্রিকেট বোড মনে হয় জিম্বাবুয়ের কাছে থেকে টাকা খেয়েছে তা নাহলে কিভাবে এমন খেলে,1,8
টাইগার বলতে আপনাদের লজ্জা লাগে না?,1,8
"এদের সবাইকে বেতন বন্ধ করে দেওয়া হোক,আর জিম্বাবুয়েকে অভিনন্দন জানাচ্ছি।",1,8
সাব্বিরের জাতীয় দলে আসার পিছনে এটাই গল্প সেটা হলো সে আয়নাতে নিয়মিত মুখ দেখে! এভাবেই সবার অন্তরালে কাজ করে গেছে মুশফিক ভাই! ,1,7
"এসোসিয়েশন এ সাব্বির এর নাম থাকাটা খুবই দুঃখ জনক
এসোসিয়েশন এর প্রতি তিব্র নিন্দা জানায়।",1,7
সাব্বির  কি খেলবে জানিনা তবে 1 মাসের মধ্যেই হাতের আইফোন 10 বদলে 13 প্রো ম্যাক্স হয়ে যাবে ,1,7
বাচ্চা বাঘ গুলাকে সুন্দরবনের প্রাকৃতিক পরিবেশে ছেড়ে দেওয়া হোক।,1,6
বাঘের বাচ্চাগুলোকে এই লকডাউনে চিড়িয়াখানায় রাখা হউক অথবা জঙ্গলে অবমুক্ত করা হউক,1,5
"বাঘের বাচ্চা গুলোকে চিড়িয়াখানায় বন্দি করেন, অর্থনৈতিক ভাবে লাভবান হবেন",1,6
বাচ্চাগুলো বড় হলো না। হরলিক্স খাওয়ানো উচিত ছিল। হালুম ডাকার বদলে এখনো মিউ মিউ করে চলেছে। ,1,6
"আপনাদের অতি আবেগের দরুন আপনারা মানুষ থেকে জানোয়ার বানায়া দিচ্ছেন
যদিও বাঘের বাচ্চা বললে খুশি হয়, জানোয়ারের বাচ্চা বললে চটে যায়",1,6
"বাঘের বাচ্চা সমস্যা নাই
কুত্তার বাচ্চা বললে সমস্যা",1,6
এক বাঘের বাচ্চা তো এই ৫ বছরে বিলাই হয়ে পাড়ার লীগ খেলতেসে,1,6
বাঘ সব সুন্দরবনে থাকে । এর বাইরে যা দেখছেন সব টাইগার প্রিন্ট এর হুলো বেড়াল,1,6
"সখ করে একদিন গেছিলাম চিড়িয়াখানায় বাঘ দেখতে,,, গিয়ে দেখি বাঘের খাচায় ছাগল",1,6
বিভিন্ন চিড়িয়াখানায় বাঘের ঘাটতি পূরণে এদেরকে খাচায় রাখা হোক,1,6
বাঘের বাচ্চা একটা পাড়ায় পাড়ায় খ্যাপ খেলে বেরায়।,1,6
"যাদের থাকার কথা সুন্দর বনে তারা খেলতাছে ক্রিকেট ।
পারফরম্যান্স কেমনে ভালো হবে ।
ফ্যাক্ট: বাঘের বাচ্চা ।",1,6
"চি চি চি বাঘেরা অাজ নগন্য কিউই পাখির লগেও পারে না 
এ অবস্থা চলতে থাকলে বাঘ বন জঙ্গল থেকে পালিয়ে গিয়ে ব্যাঙের গর্তে বসবাস শুরু করা লাগবে",1,6
বাঘের ডাক মেও,1,6
বাচ্চারা একদিন বাঘ হবে।,1,6
গাবতলির গরুর হাট থেকে তো গরু পালাইছিলো। বাঘের বাচ্চা গুলা কোথা থেকে আশলো বুঝলাম না।,1,6
তাসকিন বাদে বাকি বিলাইয়ের বাচ্চাগুলার জন্য আমার নুনুর পক্ষ থাকি সমবালধনা রইল,1,6
কিছু বিড়াল রাস্তা দিয়ে যাচ্ছিল হঠাৎ হলুদ কালো রঙে বাহি ট্রাক দুর্ঘটনা হলে বিড়াল গুলার গায়ে রং গুলো এসে পড়ল,1,6
"কোটি মানুষের আদর,স্নেহ আর ভালোবাসা পেয়েছে বলেই আজ তারা LORD",1,6
"আচ্ছা মানুষরে জানোয়ারের বাচ্চা বল্লে গালি হয়ে যায় কিন্তু বাঘের বাচ্চা বল্লে খুশি হয় কেন ?
বাঘ কিন্তু একটা হিংস্র প্রণি ",1,6
বাঘের বাচ্চারা শিক্ষাসফরে গেছে মানুষ হয়ে ফিরে আসার লক্ষ্যে,1,6
"জনি ভাইয়ের পক্ষ থেকে লর্ড মেম্বারদের (tiger<🐱) জানাই শুভেচ্ছা
",1,6
৬ বছর আগের বাঘের বাচ্চা এখনো বাচ্চাই রয়ে গেল। বাঘ হইল না!,1,6
আমাদের এক শিক্ষক ছিলেন উনার সামনে কাওকে বাঘের বাচ্চা বললে উনি বলতো বাঘ ওর মায়ের কাছে গেছিলো নাকি ওর মা বাঘের কাছে গেছিলো,1,6
"বাঘের বাচ্চা একটা জানোয়ার ।
কুত্তার বাচ্চা ও একটা জানোয়ার ।
বাঘের বাচ্চা বললে খুশি হয় R
কুত্তার বাচ্চা বলে বেজার হয়।",1,6
বাংলাদেশে বাঘ এখন বিলুপ্তের পথে,1,6
এগ্লা ডোরাকাটা বিড়াল,1,6
মিথুন ভাই ১৮কোটি মানুষের হৃদ স্পন্দন,1,6
বেশি ভালোবাসা পেয়ে বাঘ এখন বিড়াল হয়ে গেলো,1,6
বাঘের বাচ্চা দিয়ে ক্রিকেট খেলা হয়না,1,6
শালা বাঘের বাচ্চা'রা; এরা আসলে মানুষ না,1,6
ঠিকই তো আছে বাঘের বাচ্চা ব্যাট ধরবে কেম্নে,1,6
বাঘের বাচ্চা মানুষ হয়ে গেলে যা হয় আরকি,1,6
বাঘগুলো আজ ম্যাও ডাকে,1,6
"আসলে বিড়ালের নামটাই "" বাঘের বাচ্চা",1,6
তাই তো বলি সুন্দরবনে আর বাঘের দেখা পাওয়া যায়না ক্যান!,1,6
আমি জানতাম ওরা মানুষের বাচচা।। বাঘের বাচ্চা কবে হলো।,1,6
এখন এরা বাঘ শক্তি থেকে ছাগল শক্তিতে রুপান্তরিত হয়েছে,1,6
আদর ভালবাসায় বাঘ থেকে বিড়াল হয়ে গেছে,1,6
লে মিথুন ব্রোঃ আমি কি তাহলে বাঘের বাচ্চা নাহ?,1,6
"লর্ড মিথুন এবং ষ্যাঁড় শান্ত,
এই দুজন হচ্ছে বাংলার সিংহ",1,6
"Sabbir Rahman সিরিয়াসলি তুই বাঘ??
তুই আমার দেখা একটা #বাচ্চা_বিলাই
যে জাতীয় টিম থেকে লাথি উষ্টা খাইয়া এখন সারাদেশে ক্ষেপ মারস।
বিলাই ভালো হইয়া যা।
বিলাইয়ের বাচ্চা নিজেরে বাঘ মনে করে।
#মেউ_মেউ",1,6
"Lords
এ
স্যার সাব্বির কে একটা সিট দিয়া দিন ",1,6
কিন্তু ডিএনএ টেস্টের পর জানা গেল ওগুলো বিড়ালছানা,1,6
সাব্বির ব্রো এর মহানুভবতা দেখে আবেগে কেঁদে দিলাম,1,5
Keeper এর পকেট থেকে 10 ডলার পরে গেছিলো সেটা নেওয়ার জন্য নিজের উইকেট এর কথা চিন্তা না করে সুয়ে পড়লেন লর্ড বিখ্যাত সাব্বির ব্রো,1,5
"টিনের চালে ক্রো
লাভ ইউ ইমরুল ব্রো",1,5
মাঠের সাথে সাব্বিরকে ঠিক মানিয়েছে যে যেমন খেলোয়ার তার মাঠটা এমনই হওয়া উচিত,1,5
সামির দেশে সামির নামে একটা স্টেডিয়াম আছে।আর আমাদের দেশে সাব্বিরের নামে কয়েকটা ঔষধের ফার্মেসি আছে,1,5
"যে দেশের জাতীয় ফল খেতে গেলে হাতে তেল মাখতে হয় ,
সে দেশে ভালো কিছু পেতে হলে তেল মারাটাও স্বাভাবিক।    লর্ড সাব্বির",1,5
ফুলটাইম টিকটকার পার্ট-টাইম ক্রিকেটার সাব্বির,1,9
বাংলাদেশ ম্যাচ লাইভ দেখতে চোখ রাখুন সাব্বিরের টিকটক অ্যাকাউন্টে ,1,9
বন্যরা বনেই সুন্দর। সাব্বির সুন্দর প্রাকটিস টাইমে,1,9
"কাল থেকে দেখতেছি, নাসুমকে সবাই মারতেছে...",1,9
টিকটকে নতুন ভিডিওর অপেক্ষায় আছি লর্ড সাব্বির,1,9
"সাব্বির, হেডার প্র্যাকটিস করো হারো শুধু নেটেই হেডা মিয়া টিকটক বাদ দিয়া খেলায় মনোযোগ দাও",1,9
"আপনার টিকটিক আইডি ফলো করে পাশে আছি ভাই, ম্যাচে যে বা*ই ফালান, টিকটকে কিন্তু প্রতিদিন ই আপনার ভিডিও চাই",1,9
"প্র‍্যাক্টিসে শটগুলো চমৎকার লাগে এগুলো টিকটকে দেন। ম্যাচে কি হলো না হলো তা কোনো বিষয় না।
সি ইউ নট ফর মাইন্ড, হ্যাভ আ রিলাক্স",1,9
"কি খবর বস সাব্বির? 
আবার খাইলেন লস! 
মান সম্মান যা ছিল,সব তছনছ",1,9
"স্কুল-কলেজের অনেক শিক্ষার্থী মডেল টেস্ট পরীক্ষায় খুবই ভালো রেজাল্ট করে, কিন্তু বোর্ড পরীক্ষায় রেজাল্ট ভাল হয় না।
সাব্বির রহমানের অবস্থা ঠিক একই রকম।",1,9
"Practice এর সময় চার-ছক্কা, কিন্তু আসল খেলায় ফলাফল ০০",1,9
"টিকটকার সাব্বির
এই সুযোগে আইডিটা ভেরিফাই করে নিলো।দল থেকে বাদ পড়া সময়ের দাবি",1,9
এটা টিকটকে রিল করে দাও নাই সাব্বির,1,9
টিক টক বাদ দিয়ে এবার একটু মনে যোগ দিয়ে বেট চালাও,1,9
নেট অনুশীলনে বড় বড় ছয় মারো। ম্যাচে গিয়ে পাওয়ার প্লের ছোট্ট রাউন্ডটাই পার করতে পারো না!!!!,1,9
"ফেসবুকে কেন রে সাব্বির দাদু, টিকটকে দে।",1,9
এই ভাবে নেট ফেট ফাডাই ফেলবা আর মাঠে গিয়ে আন্ডা মেরে ম্যাচ পেমেন্ট নিয়ে টিকটক মারাবা। টিকটক স্টার লর্ড সাব্বির,1,9
"কর্তৃপক্ষের কাছে বিশেষ অনুরোধ, সাব্বির কে প্রাকটিস ম্যাচে স্থায়ী করে রাখা হোক। ও যেন মূল খেলার মাঠে ঢুকে না পড়ে। ",1,9
 বন্যেরা বনেই সুন্দর আর সাব্বির প্রাকটিস মাঠে৷,1,9
টিক টক স্টার সাব্বির রহমান রোমন,1,9
আশায় আছি নতুন নতুন টিক টক ভিডিও আমাদের উপহার দিয়ে দেশকে অনেক দুর এগিয়ে নিয়ে যাবেন সাব্বির,1,9
"ভাই তুই টিকটক নিয়ে পরে থাক, খেলার মাঠে আছিস না।সাকিব কত আশা নিয়ে তকে দলে আনছিলো আর তুই এই প্রতিদান দিচ্ছিস।",1,9
খেলার সব খবরা খবর পাওয়ার জন্য চোখ রাখুন সাব্বির রহমান এর টিকটক id তে,1,9
আগে টিকটক এ আপলোড দিয়ে নাও সাব্বির ভাই,1,9
টিকটকার ভাই দয়া করে খেলায় মনোযোগ দেও আর ডাব্বা মারা বন্ধ কর।,1,9
লস খাইয়া গজ চিনবেন খেলা এতো সোজা বস;  (এনামূল হক বিজয়),1,9
"প্রিয় সাব্বির তুমি খেলাধুলা বাদ দিয়ে টকটকে মন দেও
আমি দেখেছি তোমার মধ্যে অনেক প্রতিভা",1,9
প্লিগ সাসকাইপ মাই টিকটক অ্যাকাউন্ট।আই অ্যাম স্যার ষাব্বির ব্র্যাডম্যান ,1,9
নাসুমের বল বাদ দিয়া এমন একটা বাড়ি ভুমরার বলে ব্যাট করতে পরলেই তুমি সেরা,1,9
"Tik Tok কিং সাব্বির ভাইয়া,
শুভ কামনা ব্রো",1,9
"মাঠের জন্য কিছু রাখেন, সব যদি নেটেই মারেন মাঠে কি শুধু গোল্লা মারবেন?",1,9
"সাব্বিরের বর্তমান অবস্থাঃ-
অনেক টিকটক করছি যাই একটু প্রাকটিস করে আসি",1,9
ওয়েল প্লেইড আওয়ার টিকটক স্টার,1,9
"সাব্বির রহমান যখন দল থেকে বাদ পড়েছিলেন তখন ,বড় বড় ছয় মারা ভিডিও পোস্ট করলেন।",1,9
